Sirket	Urun	Tur Adi	Inc	Ram	Isletim Sistemi	Agirlik	Ekran	Ekran Genisligi	Ekran Yuksekligi	Dokunmatik Ekran	IPS Panel	Retina Ekran	Islemci Sirketi	Islemci Frekansi	Islemci Modeli	Birincil Depolama	Ikincil Depolama	Birincil Depolama Turu	Ikincil Depolama Turu	Grafik Karti Sirketi	Grafik Karti Modeli	Fiyat(TürkLirasi)
Apple	MacBook Pro	Ultrabook	13.3	8.0	macOS	1.37	Standard	2560.0	1600.0	No	Yes	Yes	Intel	2.3	Core i5	128.0	0.0	SSD	No	Intel	Iris Plus Graphics 640	49568.53
Apple	Macbook Air	Ultrabook	13.3	8.0	macOS	1.34	Standard	1440.0	900.0	No	No	No	Intel	1.8	Core i5	128.0	0.0	Flash Storage	No	Intel	HD Graphics 6000	33260.78
HP	250 G6	Notebook	15.6	8.0	No OS	1.86	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	21275.0
Apple	MacBook Pro	Ultrabook	15.4	16.0	macOS	1.83	Standard	2880.0	1800.0	No	Yes	Yes	Intel	2.7	Core i7	512.0	0.0	SSD	No	AMD	Radeon Pro 455	93885.65
Apple	MacBook Pro	Ultrabook	13.3	8.0	macOS	1.37	Standard	2560.0	1600.0	No	Yes	Yes	Intel	3.1	Core i5	256.0	0.0	SSD	No	Intel	Iris Plus Graphics 650	66733.2
Acer	Aspire 3	Notebook	15.6	4.0	Windows 10	2.1	Standard	1366.0	768.0	No	No	No	AMD	3.0	A9-Series 9420	500.0	0.0	HDD	No	AMD	Radeon R5	14800.0
Apple	MacBook Pro	Ultrabook	15.4	16.0	Mac OS X	2.04	Standard	2880.0	1800.0	No	Yes	Yes	Intel	2.2	Core i7	256.0	0.0	Flash Storage	No	Intel	Iris Pro Graphics	79178.89
Apple	Macbook Air	Ultrabook	13.3	8.0	macOS	1.34	Standard	1440.0	900.0	No	No	No	Intel	1.8	Core i5	256.0	0.0	Flash Storage	No	Intel	HD Graphics 6000	42871.9
Asus	ZenBook UX430UN	Ultrabook	14.0	16.0	Windows 10	1.3	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Nvidia	GeForce MX150	55315.0
Acer	Swift 3	Ultrabook	14.0	8.0	Windows 10	1.6	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	28490.0
HP	250 G6	Notebook	15.6	4.0	No OS	1.86	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	500.0	0.0	HDD	No	Intel	HD Graphics 620	14574.3
HP	250 G6	Notebook	15.6	4.0	No OS	1.86	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	500.0	0.0	HDD	No	Intel	HD Graphics 520	12764.630000000001
Apple	MacBook Pro	Ultrabook	15.4	16.0	macOS	1.83	Standard	2880.0	1800.0	No	Yes	Yes	Intel	2.8	Core i7	256.0	0.0	SSD	No	AMD	Radeon Pro 555	90278.89
Dell	Inspiron 3567	Notebook	15.6	4.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	256.0	0.0	SSD	No	AMD	Radeon R5 M430	18459.3
"Apple,""MacBook 12"""""",Ultrabook,12.0,8,macOS,0.92,1262.4,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615"																						
Apple	MacBook Pro	Ultrabook	13.3	8.0	macOS	1.37	Standard	2560.0	1600.0	No	Yes	Yes	Intel	2.3	Core i5	256.0	0.0	SSD	No	Intel	Iris Plus Graphics 640	56186.35
Dell	Inspiron 3567	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	AMD	Radeon R5 M430	27565.0
Apple	MacBook Pro	Ultrabook	15.4	16.0	macOS	1.83	Standard	2880.0	1800.0	No	Yes	Yes	Intel	2.9	Core i7	512.0	0.0	SSD	No	AMD	Radeon Pro 560	105746.0
Lenovo	IdeaPad 320-15IKB	Notebook	15.6	8.0	No OS	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.4	Core i3 7100U	1024.0	0.0	HDD	No	Nvidia	GeForce 940MX	18463.0
Dell	XPS 13	Ultrabook	13.3	8.0	Windows 10	1.22	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	1.6	Core i5 8250U	128.0	0.0	SSD	No	Intel	UHD Graphics 620	36223.0
Asus	Vivobook E200HA	Netbook	11.6	2.0	Windows 10	0.98	Standard	1366.0	768.0	No	No	No	Intel	1.44	Atom x5-Z8350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 400	7100.3
Lenovo	Legion Y520-15IKBN	Gaming	15.6	8.0	Windows 10	2.5	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7300HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	36963.0
HP	255 G6	Notebook	15.6	4.0	No OS	1.86	Standard	1366.0	768.0	No	No	No	AMD	1.5	E-Series E2-9000e	500.0	0.0	HDD	No	AMD	Radeon R2	9546.0
Dell	Inspiron 5379	2 in 1 Convertible	13.3	8.0	Windows 10	1.62	Full HD	1920.0	1080.0	Yes	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	30303.0
HP	15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)	Ultrabook	15.6	8.0	Windows 10	1.91	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Intel	HD Graphics 620	24383.0
Dell	Inspiron 3567	Notebook	15.6	4.0	Windows 10	2.3	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 520	15489.68
Apple	MacBook Air	Ultrabook	13.3	8.0	Mac OS X	1.35	Standard	1440.0	900.0	No	No	No	Intel	1.6	Core i5	128.0	0.0	Flash Storage	No	Intel	HD Graphics 6000	40663.0
Dell	Inspiron 5570	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	AMD	Radeon 530	29600.0
Dell	Latitude 5590	Ultrabook	15.6	8.0	Windows 10	1.88	Full HD	1920.0	1080.0	No	No	No	Intel	1.9	Core i7 8650U	256.0	256.0	SSD	SSD	Intel	UHD Graphics 620	48026.0
HP	ProBook 470	Notebook	17.3	8.0	Windows 10	2.5	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	1024.0	0.0	HDD	No	Nvidia	GeForce 930MX	33152.0
"Chuwi,""LapBook 15.6"""""",Notebook,15.6,4,Windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics"																						
Asus	E402WA-GA010T (E2-6110/2GB/32GB/W10)	Notebook	14.0	2.0	Windows 10	1.65	Standard	1366.0	768.0	No	No	No	AMD	1.5	E-Series E2-6110	32.0	0.0	Flash Storage	No	AMD	Radeon R2	7363.0
HP	17-ak001nv (A6-9220/4GB/500GB/Radeon	Notebook	17.3	4.0	Windows 10	2.71	Full HD	1920.0	1080.0	No	No	No	AMD	2.5	A6-Series 9220	500.0	0.0	HDD	No	AMD	Radeon 530	16243.0
Dell	XPS 13	Ultrabook	13.3	16.0	Windows 10	1.2	Quad HD+	3200.0	1800.0	Yes	No	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Intel	UHD Graphics 620	69153.0
Apple	MacBook Air	Ultrabook	13.3	8.0	Mac OS X	1.35	Standard	1440.0	900.0	No	No	No	Intel	1.6	Core i5	256.0	0.0	Flash Storage	No	Intel	HD Graphics 6000	36926.0
Lenovo	IdeaPad 120S-14IAP	Notebook	14.0	4.0	Windows 10	1.44	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	64.0	0.0	Flash Storage	No	Intel	HD Graphics 500	9213.0
Acer	Aspire 3	Notebook	15.6	4.0	Linux	2.1	Standard	1366.0	768.0	No	No	No	Intel	2.7	Core i3 7130U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	13579.0
Dell	Inspiron 5770	Notebook	17.3	8.0	Windows 10	2.8	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	128.0	1024.0	SSD	HDD	AMD	Radeon 530	36223.0
HP	250 G6	Notebook	15.6	4.0	Windows 10	1.86	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	18081.53
HP	ProBook 450	Notebook	15.6	8.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Nvidia	GeForce 930MX 	32523.0
Asus	X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)	Notebook	15.6	4.0	Linux	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	14393.0
Dell	Inspiron 7577	Gaming	15.6	16.0	Windows 10	2.65	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1060	55463.0
Asus	X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce	Notebook	15.6	8.0	Linux	2.3	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Nvidia	GeForce 940MX	19350.63
